id_CH,id_ZH,id_RO,empire,kingdom,phylum,class,order,family,genus,species,size,potentiallyToxic,affiliation,synonyms,EstimatedBiovolumesFromLiterature,Literature,volume_um.3,kremer_key,kremer_match,min_nu.biovol,mn_nu.biovol,mdn_nu.biovol,max_nu.biovol,sd_nu.biovol,n,mn_cells.per.nu,n_sources,w.tsn,analysis,comments,size_category,motility,physiology,colony_growth,stRategy,cell_shape,special_nutrition,volume_um.3.1,surface_um.2,VWS,GRE,HAL,SEM,BAL,BoOber,Unter,WAL,qualifier_as_food,species_buergi,coloniality,comments_coloniality,guild,guild.code
107,200800,s017,prokaryota,Bacteria,Cyanobacteria,Cyanophyceae,Chroococcales,Chroococcaceae,Chroococcus,sp,,1,Chroococcus sp,,NA,,100,Chroococcus,genus,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,200802,s016,prokaryota,Bacteria,Cyanobacteria,Cyanophyceae,Chroococcales,Chroococcaceae,Chroococcus,turgidus,,1,Chroococcus turgidus,Chroococcus dimidiatus,NA,,4000,Chroococcus turgidus,species,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,200803,s013,prokaryota,Bacteria,Cyanobacteria,Cyanophyceae,Chroococcales,Chroococcaceae,Chroococcus,dispersus,,1,Chroococcus dispersus,,NA,,22,Chroococcus dispersus,species,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,200801,s014,prokaryota,Bacteria,Cyanobacteria,Cyanophyceae,Chroococcales,Chroococcaceae,Chroococcus,limneticus,,1,Chroococcus limneticus,,NA,,150,Chroococcus limneticus,species,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,201000,s020,prokaryota,Bacteria,Cyanobacteria,Cyanophyceae,Synechococcales,Coelosphaeriaceae,Coelosphaerium,sp,,0,Coelosphaerium sp,,NA,,15,Coelosphaerium,genus,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,201001,s018,prokaryota,Bacteria,Cyanobacteria,Cyanophyceae,Synechococcales,Coelosphaeriaceae,Coelosphaerium,kuetzingianum,,0,Coelosphaerium kuetzingianum,,NA,,22,Coelosphaerium kuetzingianum,species,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,201002,,prokaryota,Bacteria,Cyanobacteria,Cyanophyceae,Synechococcales,Coelosphaeriaceae,Coelosphaerium,minutissimum,,0,Coelosphaerium minutissimum,,NA,,1,Coelosphaerium minutissimum,species,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,NA,,prokaryota,Bacteria,Cyanobacteria,Cyanophyceae,Synechococcales,Coelosphaeriaceae,Coelosphaerium,dubium,,0,Coelosphaerium dubium,,NA,,110,Coelosphaerium,genus,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,NA,,prokaryota,Bacteria,Cyanobacteria,Cyanophyceae,Synechococcales,Synechococcaceae,Cyanodictyon,sp,,NA,Cyanodictyon sp,,NA,,1,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,all,NA,c,c,a,h,K,a,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,1,Cyanodictyon sp,3,,cyanobacteria,P2
116,NA,,prokaryota,Bacteria,Cyanobacteria,Cyanophyceae,Chroococcales,Gomphosphaeriaceae,Gomphosphaeria/Snowella,sp,,1,Gomphosphaeria/Snowella sp,,NA,,20,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,biomass only,discuss,,,,,,,,,,,,,,,,,,,,,,,
117,NA,s026,prokaryota,Bacteria,Cyanobacteria,Cyanophyceae,Synechococcales,Coelosphaeriaceae,Snowella,lacustris,,1,Snowella lacustris,Gomphosphaeria lacustris,NA,,8,Gomphosphaeria lacustris,species,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,NA,,prokaryota,Bacteria,Cyanobacteria,Cyanophyceae,Chroococcales,Gomphosphaeriaceae,Gomphosphaeria,aponina,,NA,Gomphosphaeria aponina,,NA,,190,Gomphosphaeria aponina,species,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,NA,s019,prokaryota,Bacteria,Cyanobacteria,Cyanophyceae,Synechococcales,Coelosphaeriaceae,Woronichinia,naegeliana,,1,Woronichinia naegeliana,Coelosphaerium naegelianum,NA,,75,Coelosphaerium naegelianum,species,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,NA,,prokaryota,Bacteria,Cyanobacteria,Cyanophyceae,Synechococcales,Coelosphaeriaceae,Woronichinia,compacta,,1,Woronichinia compacta,,NA,,10,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,all,NA,c,c,a,f,K,b,NA,10,20,NA,NA,NA,NA,NA,NA,NA,NA,8,Woronichinia compacta,3,,cyanobacteria,P2
121,NA,s024,prokaryota,Bacteria,Cyanobacteria,Cyanophyceae,Chroococcales,Microcystaceae,Gloeocapsa,sp,,NA,Gloeocapsa sp,,NA,,10,Gloeocapsa,genus,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,NA,,prokaryota,Bacteria,Cyanobacteria,Cyanophyceae,Chroococcales,Microcystaceae,Gloeocapsa,atrata,,NA,Gloeocapsa atrata,Gloeocapsa montana,NA,,10,Gloeocapsa,genus,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,NA,,prokaryota,Bacteria,Cyanobacteria,Cyanophyceae,Chroococcales,Microcystaceae,Gloeocapsa,sanguinea,,NA,Gloeocapsa sanguinea,,NA,,30,Gloeocapsa,genus,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,NA,s025,prokaryota,Bacteria,Cyanobacteria,Cyanophyceae,Chroococcales,Aphanothecaceae,Gloeothece,sp,,0,Gloeothece sp,,NA,,30,Gloeothece,genus,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,NA,,prokaryota,Bacteria,Cyanobacteria,Cyanophyceae,Chroococcales,Aphanothecaceae,Gloeothece,linearis,,0,Gloeothece linearis,,NA,,30,Gloeothece linearis,species,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,201300,s034,prokaryota,Bacteria,Cyanobacteria,Cyanophyceae,Synechococcales,Merismopediaceae,Merismopedia,sp,,1,Merismopedia sp,,NA,,10,Merismopedia,genus,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,NA,s032,prokaryota,Bacteria,Cyanobacteria,Cyanophyceae,Synechococcales,Merismopediaceae,Merismopedia,punctata,,1,Merismopedia punctata,,NA,,15,Merismopedia punctata,species,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,NA,s031,prokaryota,Bacteria,Cyanobacteria,Cyanophyceae,Synechococcales,Merismopediaceae,Merismopedia,glauca,,1,Merismopedia glauca,,NA,,90,Merismopedia glauca,species,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,201301,s033,prokaryota,Bacteria,Cyanobacteria,Cyanophyceae,Synechococcales,Merismopediaceae,Merismopedia,tenuissima,,1,Merismopedia tenuissima,,NA,,4,Merismopedia tenuissima,species,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,NA,,prokaryota,Bacteria,Cyanobacteria,Cyanophyceae,Synechococcales,Merismopediaceae,Merismopedia,elegans,,1,Merismopedia elegans,,NA,,140,Merismopedia elegans,species,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,NA,,prokaryota,Bacteria,Cyanobacteria,Cyanophyceae,Synechococcales,Merismopediaceae,Merismopedia,trolleri,,1,Merismopedia trolleri,,NA,,5,Merismopedia trolleri,species,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,200500,s039,prokaryota,Bacteria,Cyanobacteria,Cyanophyceae,Chroococcales,Microcystaceae,Microcystis,sp,,1,Microcystis sp,,NA,,60,Microcystis,genus,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,NA,s038,prokaryota,Bacteria,Cyanobacteria,Cyanophyceae,Chroococcales,Microcystaceae,Microcystis,wesenbergii,,1,Microcystis wesenbergii,,NA,,80,Microcystis,genus,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,200602,,prokaryota,Bacteria,Cyanobacteria,Cyanophyceae,Synechococcales,Merismopediaceae,Aphanocapsa,incerta,,NA,Aphanocapsa incerta,Microcystis incerta,NA,,8,Anacystis incerta,species,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,NA,,prokaryota,Bacteria,Cyanobacteria,Cyanophyceae,Synechococcales,Merismopediaceae,Aphanocapsa,elachista,,NA,Aphanocapsa elachista,Aphanocapsa conferta,NA,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,200503,s035,prokaryota,Bacteria,Cyanobacteria,Cyanophyceae,Chroococcales,Microcystaceae,Microcystis,aeruginosa,,1,Microcystis aeruginosa,,NA,,48,Microcystis aeruginosa,species,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,NA,,prokaryota,Bacteria,Cyanobacteria,Cyanophyceae,Chroococcales,Microcystaceae,Microcystis,viridis,,1,Microcystis viridis,,NA,,85,Microcystis,genus,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,NA,,prokaryota,Bacteria,Cyanobacteria,Cyanophyceae,Synechococcales,Merismopediaceae,Aphanocapsa,grevillei,,NA,Aphanocapsa grevillei,,NA,,35,Aphanocapsa,genus,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,NA,,eukaryota,,,,,,Marssoniella,sp,,NA,Marssoniella sp,,NA,,10,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,biomass only,NA,c,c,a,c,K,d,NA,10,20,NA,NA,NA,NA,NA,NA,NA,NA,5,Marssoniella sp,NA,,NA,NA
140,NA,,prokaryota,Bacteria,Cyanobacteria,Cyanophyceae,Chroococcales,Chroococcaceae,Dactylococcopsis/Rhabdogloea,,,NA,Dactylococcopsis/Rhabdogloea NA,,NA,,5,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,biomass only,discuss,,,,,,,,,,,,,,,,,,,,,,,
141,NA,,prokaryota,Bacteria,Cyanobacteria,Cyanophyceae,Synechococcales,Synechococcaceae,Rhabdoderma,sp,,NA,Rhabdoderma sp,,NA,,5,Rhabdoderma,genus,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,201700,,prokaryota,Bacteria,Cyanobacteria,Cyanophyceae,Synechococcales,Synechococcaceae,Synechococcus,sp,,NA,Synechococcus sp,,NA,,80,Synechococcus,genus,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,NA,,prokaryota,Bacteria,Cyanobacteria,Cyanophyceae,Oscillatoriales,Cyanothecaceae,Cyanothece,major,,NA,Cyanothece major,Synechococcus major,NA,,5000,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,all,NA,c,c,a,b,K,f,NA,5000,2000,NA,NA,NA,NA,NA,5600,5600,NA,60,Cyanothece major,0,solitary sometimes paires,,
144,NA,,prokaryota,Bacteria,Cyanobacteria,Cyanophyceae,Synechococcales,Merismopediaceae,Synechocystis,sp,,NA,Synechocystis sp,,NA,,80,Synechocystis,genus,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,NA,,eukaryota,Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Hydrodictyaceae,Tetrapedia,sp,,NA,Tetrapedia sp,,NA,,150,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,all,NA,c,c,a,f,K,h,NA,150,180,NA,NA,NA,NA,NA,NA,NA,NA,50,Tetrapedia sp,2,,green algae,P5
146,NA,,prokaryota,Bacteria,Cyanobacteria,Cyanophyceae,Synechococcales,Synechococcaceae,Synechococcus,sp,small,NA,Synechococcus sp,,NA,,50,Synechococcus,genus,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,NA,,prokaryota,Bacteria,Cyanobacteria,Cyanophyceae,Synechococcales,Synechococcaceae,Synechococcus,aquatilis,,NA,Synechococcus aquatilis,,NA,,60,Synechococcus,genus,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,200601,,prokaryota,Bacteria,Cyanobacteria,Cyanophyceae,Synechococcales,Merismopediaceae,Aphanocapsa,delicatissima,,NA,Aphanocapsa delicatissima,,NA,,10,Aphanocapsa delicatissima,species,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,NA,,prokaryota,Bacteria,Cyanobacteria,Cyanophyceae,Synechococcales,Merismopediaceae,Synechocystis,sallensis,,NA,Synechocystis sallensis,,NA,,1400,Synechocystis,genus,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,NA,,prokaryota,Bacteria,Cyanobacteria,Cyanophyceae,Synechococcales,Merismopediaceae,Merismopedia,convoluta,,1,Merismopedia convoluta,,NA,,30,Merismopedia,genus,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,NA,,prokaryota,Bacteria,Cyanobacteria,Cyanophyceae,Synechococcales,Synechococcaceae,Anathece,minutissima,,NA,Anathece minutissima,Aphanothece minutissima / Aphanothece pulverulenta,NA,,2,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,all,NA,b,b,a,f,R,a,NA,2,5,NA,NA,NA,NA,NA,NA,NA,NA,2,Anathece minutissima,3,,cyanobacteria,P2
152,NA,,prokaryota,Bacteria,Cyanobacteria,Cyanophyceae,Synechococcales,Synechococcaceae,Rhabdogloea,linearis,,NA,Rhabdogloea linearis,,NA,,6,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,all,NA,c,c,a,f,K,f,NA,6,15,NA,NA,NA,NA,NA,6,6,NA,6,Rhabdogloea linearis,3,,cyanobacteria,P2
153,NA,,eukaryota,Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Selenastraceae,Monoraphidium,irregulare,,NA,Monoraphidium irregulare,Dactylococcopsis irregularis,NA,,6,Dactylococcopsis irregularis,species,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,201402,s023,prokaryota,Bacteria,Cyanobacteria,Cyanophyceae,Synechococcales,Synechococcaceae,Rhabdogloea,smithii,,NA,Rhabdogloea smithii,Dactylococcopsis smithii,NA,,6,Dactylococcopsis smithii,species,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,NA,,eukaryota,Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Selenastraceae,Monoraphidium,griffithii,,NA,Monoraphidium griffithii,Dactylococcopsis acicularis,NA,,10,Monoraphidium griffithii,species,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,NA,,prokaryota,Bacteria,Cyanobacteria,Cyanophyceae,Synechococcales,Merismopediaceae,Synechocystis,septentrionalis,,NA,Synechocystis septentrionalis,,NA,,520,Synechocystis,genus,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,NA,,prokaryota,Bacteria,Cyanobacteria,Cyanophyceae,Chroococcales,,,,large,NA,,,NA,,300,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,biomass only,NA,d,b,a,f,R,a,NA,300,200,NA,NA,NA,NA,NA,300,300,NA,20,Chroococcales large,0,,cyanobacteria,P1
199,NA,,prokaryota,Bacteria,Cyanobacteria,Cyanophyceae,Chroococcales,,,,small,NA,,,NA,,5,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,biomass only,NA,c,c,a,f,K,a,NA,5,15,5,NA,NA,NA,NA,5,5,NA,5,Chroococcales small,0,,cyanobacteria,P1
200,NA,,prokaryota,Bacteria,Cyanobacteria,Cyanophyceae,Chroococcales,,,,intermediate,NA,,,NA,,30,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,biomass only,NA,c,b,a,f,K,a,NA,30,NA,NA,NA,NA,NA,NA,30,30,NA,15,Chroococcales intermediate,0,,cyanobacteria,P1
201,NA,,prokaryota,Bacteria,Cyanobacteria,Cyanophyceae,Pleurocapsales,Hyellaceae,Pleurocapsa,sp,,NA,Pleurocapsa sp,,NA,,30,Pleurocapsa,genus,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,NA,,prokaryota,Bacteria,Cyanobacteria,Cyanophyceae,Chroococcales,Dermocarpellaceae,Dermocarpa/Cyanocystis,sp,,NA,Dermocarpa/Cyanocystis sp,,NA,,30,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,biomass only,discuss,,,,,,,,,,,,,,,,,,,,,,,
203,NA,,prokaryota,Bacteria,Cyanobacteria,Cyanophyceae,Synechococcales,Chamaesiphonaceae,Chamaesiphon,sp,,NA,Chamaesiphon sp,,NA,,35,Chamaesiphon,genus,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,NA,,prokaryota,Bacteria,Cyanobacteria,Cyanophyceae,Synechococcales,Chamaesiphonaceae,Chamaesiphon,polonicus,,NA,Chamaesiphon polonicus,,NA,,35,Chamaesiphon,genus,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,NA,,prokaryota,Bacteria,Cyanobacteria,Cyanophyceae,Synechococcales,Chamaesiphonaceae,Chamaesiphon,incrustans,,NA,Chamaesiphon incrustans,,NA,,35,Chamaesiphon incrustans,species,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,NA,,prokaryota,Bacteria,Cyanobacteria,Cyanophyceae,Synechococcales,Chamaesiphonaceae,Chamaesiphon,fuscus,,NA,Chamaesiphon fuscus,,NA,,35,Chamaesiphon,genus,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,NA,,prokaryota,Bacteria,Cyanobacteria,Cyanophyceae,Synechococcales,Chamaesiphonaceae,Chamaesiphon,confervicola,,NA,Chamaesiphon confervicola,Chamaesiphon curvatus,NA,,35,Chamaesiphon,genus,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,NA,,prokaryota,Bacteria,Cyanobacteria,Cyanophyceae,Pleurocapsales,Hyellaceae,Pleurocapsa,minor,,NA,Pleurocapsa minor,,NA,,5,Pleurocapsa,genus,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,202500,,prokaryota,Bacteria,Cyanobacteria,Cyanophyceae,Synechococcales,Coelosphaeriaceae,Woronichinia,sp,,1,Woronichinia sp,,NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Woronichinia sp,3,cells periferical with stalks,cyanobacteria,P2
