"","date","id_CH","abundance","unit","depth","order","genus","species","stage","volume_um.3","guild","occurrences","lake"
"61",2002-12-09,7033,660,"indv./m2","0_85m","Cyclopoida","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"SEM"
"62",2003-09-15,7033,980,"indv./m2","0_85m","Cyclopoida","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"SEM"
"63",2003-12-09,7033,980,"indv./m2","0_85m","Cyclopoida","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"SEM"
"64",2004-03-01,7033,1005,"indv./m2","0_85m","Cyclopoida","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"SEM"
"65",2006-11-06,7033,350,"indv./m2","0_85m","Cyclopoida","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"SEM"
"66",2010-08-16,7033,8500,"indv./m2","0_85m","Cyclopoida","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"SEM"
"67",2010-09-20,7033,8245,"indv./m2","0_85m","Cyclopoida","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"SEM"
"68",2010-12-06,7033,510,"indv./m2","0_85m","Cyclopoida","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"SEM"
"69",2011-06-14,7033,10200,"indv./m2","0_85m","Cyclopoida","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"SEM"
"70",2011-08-08,7033,49300,"indv./m2","0_85m","Cyclopoida","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"SEM"
"71",2012-08-06,7033,2550,"indv./m2","0_85m","Cyclopoida","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"SEM"
"72",2012-10-08,7033,850,"indv./m2","0_85m","Cyclopoida","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"SEM"
"73",2013-08-12,7033,31450,"indv./m2","0_85m","Cyclopoida","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"SEM"
"74",2013-09-16,7033,3740,"indv./m2","0_85m","Cyclopoida","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"SEM"
"75",2013-10-14,7033,1275,"indv./m2","0_85m","Cyclopoida","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"SEM"
"76",2014-05-12,7033,1530,"indv./m2","0_85m","Cyclopoida","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"SEM"
"77",2014-06-16,7033,3995,"indv./m2","0_85m","Cyclopoida","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"SEM"
"78",2014-08-18,7033,28900,"indv./m2","0_85m","Cyclopoida","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"SEM"
"79",2014-10-13,7033,2040,"indv./m2","0_85m","Cyclopoida","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"SEM"
"80",2015-01-12,7033,340,"indv./m2","0_85m","Cyclopoida","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"SEM"
"81",2015-06-01,7033,1020,"indv./m2","0_85m","Cyclopoida","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"SEM"
"82",2015-08-03,7033,26350,"indv./m2","0_85m","Cyclopoida","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"SEM"
"83",2016-04-25,7033,255,"indv./m2","0_85m","Cyclopoida","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"SEM"
"84",2016-08-16,7033,29750,"indv./m2","0_85m","Cyclopoida","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"SEM"
"85",2017-03-27,7033,2465,"indv./m2","0_85m","Cyclopoida","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"SEM"
"86",2017-04-19,7033,13600,"indv./m2","0_85m","Cyclopoida","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"SEM"
"87",2017-08-16,7033,24650,"indv./m2","0_85m","Cyclopoida","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"SEM"
"88",2018-04-17,7033,12750,"indv./m2","0_85m","Cyclopoida","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"SEM"
"89",2018-06-11,7033,161500,"indv./m2","0_85m","Cyclopoida","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"SEM"
"90",2018-08-13,7033,178500,"indv./m2","0_85m","Cyclopoida","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"SEM"
"91",2018-10-15,7033,5015,"indv./m2","0_85m","Cyclopoida","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"SEM"
"92",2019-04-15,7033,9350,"indv./m2","0_85m","Cyclopoida","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"SEM"
"93",2019-06-10,7033,9350,"indv./m2","0_85m","Cyclopoida","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"SEM"
"94",2019-08-12,7033,29750,"indv./m2","0_85m","Cyclopoida","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"SEM"
"95",2019-10-21,7033,1020,"indv./m2","0_85m","Cyclopoida","Thermocyclops","sp","male",NA,"cyclopoid copepods",1,"SEM"
